name,n,d,m,k,girth,floor,min_rho,defect,mean_rho,frac_below_floor,cycle_profile,sec
reg3_2_3_0,3,2,3,1,3,2.0,1.9999999999999996,-4.440892098500626e-16,1.9999999999999996,0.0,{3: '0/1'},0.0
reg4_2_4_1,4,2,4,1,4,2.0,1.4142135623730954,-0.5857864376269046,1.7071067811865477,0.5,{4: '1/1'},0.0
reg4_3_6_2,4,3,6,3,3,2.8284271247461903,2.23606797749979,-0.5923591472464005,2.4270509831248424,0.75,"{3: '2/4', 4: '2/3'}",0.0
reg5_2_5_3,5,2,5,1,5,2.0,1.9999999999999987,-1.3322676295501878e-15,1.9999999999999991,0.0,{5: '0/1'},0.0
reg5_4_10_4,5,4,10,6,3,3.4641016151377544,2.23606797749979,-1.2280336376379646,3.0043506593027782,0.96875,"{3: '5/10', 4: '10/15', 5: '6/12'}",0.0
reg6_2_6_5,6,2,6,1,6,2.0,1.7320508075688774,-0.2679491924311226,1.8660254037844388,0.5,{6: '1/1'},0.0
reg6_3_9_6,6,3,9,4,3,2.8284271247461903,2.23606797749979,-0.5923591472464005,2.585867384395046,0.875,"{3: '1/2', 4: '3/3', 5: '3/6', 6: '0/3'}",0.0
reg6_3_9_7,6,3,9,4,4,2.8284271247461903,1.9999999999999998,-0.8284271247461905,2.378373457204967,0.9375,"{4: '6/9', 6: '2/6'}",0.0
reg6_4_12_8,6,4,12,7,3,3.4641016151377544,2.0,-1.4641016151377544,3.0460521532940223,0.796875,"{3: '4/8', 4: '12/15', 5: '12/24', 6: '4/16'}",0.0
reg6_5_15_9,6,5,15,10,3,4.0,2.23606797749979,-1.7639320225002102,3.48888840723968,0.8515625,"{3: '10/20', 4: '30/45', 5: '36/72', 6: '20/60'}",0.0
reg7_2_7_10,7,2,7,1,7,2.0,1.9999999999999993,-6.661338147750939e-16,1.9999999999999996,0.0,{},0.0
reg7_4_14_11,7,4,14,8,3,3.4641016151377544,2.5883639906851035,-0.8757376244526509,3.1380978709378677,0.8828125,"{3: '4/7', 4: '10/14', 5: '12/28', 6: '16/35'}",0.0
reg7_4_14_12,7,4,14,8,3,3.4641016151377544,2.5615528128088303,-0.9025488023289241,3.11552850605114,0.890625,"{3: '2/6', 4: '12/18', 5: '16/24', 6: '16/36'}",0.0
reg7_6_21_13,7,6,21,15,3,4.47213595499958,3.0,-1.4721359549995796,3.9408721298625284,0.88970947265625,"{3: '17/35', 4: '60/105', 5: '132/252', 6: '200/420'}",0.2
Petersen,10,3,15,6,5,2.8284271247461903,2.2360679774997902,-0.5923591472464,2.6667567794846274,0.96875,"{5: '6/12', 6: '10/10'}",0.0
Q3,8,3,12,5,4,2.8284271247461903,1.7320508075688774,-1.0963763171773129,2.5051488277783673,0.96875,"{4: '6/6', 6: '4/16'}",0.0
Q4,16,4,32,17,4,3.4641016151377544,2.0000000000000027,-1.4641016151377517,3.1848005576572445,0.9475021362304688,"{4: '24/24', 6: '32/128'}",4.4
Heawood,14,3,21,8,6,2.8284271247461903,2.4494897427831774,-0.37893738196301285,2.6411781084528902,0.9140625,{6: '18/28'},0.0
MobiusKantor,16,3,24,9,6,2.8284271247461903,2.414213562373095,-0.41421356237309537,2.6671709593032165,0.951171875,{6: '16/24'},0.0
"C8(1,2)",8,4,16,9,3,3.4641016151377544,2.326846269604655,-1.1372553455330996,3.175045255733572,0.83984375,"{3: '4/8', 4: '10/10', 5: '12/24', 6: '20/52'}",0.0
"C10(1,2)",10,4,20,11,3,3.4641016151377544,2.4972120409568332,-0.9668895741809211,3.243826118010256,0.8125,"{3: '5/10', 4: '10/10', 5: '6/12', 6: '15/35'}",0.0
"C12(1,2)",12,4,24,13,3,3.4641016151377544,2.594619588218836,-0.8694820269189183,3.2872346186132106,0.79150390625,"{3: '6/12', 4: '12/12', 5: '6/12', 6: '2/14'}",0.1
