set,i,instance,n,d,floor,strategy,best_rho,gap,n_eval,wall,budget
planted,0,planted64[0],64,4,3.464102,family,3.103527,-0.360575,2000,0.581,2000
planted,0,planted64[0],64,4,3.464102,randcon,3.211394,-0.252708,2000,0.558,2000
planted,0,planted64[0],64,4,3.464102,random,3.232687,-0.231415,2000,0.413,2000
planted,0,planted64[0],64,4,3.464102,anneal,3.208721,-0.255381,2000,0.395,2000
planted,0,planted64[0],64,4,3.464102,tabu,3.146679,-0.317423,2000,0.374,2000
planted,1,planted64[1],64,4,3.464102,family,3.142588,-0.321513,2000,0.593,2000
planted,1,planted64[1],64,4,3.464102,randcon,3.220708,-0.243394,2000,0.564,2000
planted,1,planted64[1],64,4,3.464102,random,3.215984,-0.248118,2000,0.415,2000
planted,1,planted64[1],64,4,3.464102,anneal,3.175464,-0.288638,2000,0.384,2000
planted,1,planted64[1],64,4,3.464102,tabu,3.088769,-0.375333,2000,0.373,2000
planted,2,planted64[2],64,4,3.464102,family,3.092389,-0.371713,2000,0.623,2000
planted,2,planted64[2],64,4,3.464102,randcon,3.226547,-0.237555,2000,0.534,2000
planted,2,planted64[2],64,4,3.464102,random,3.17725,-0.286852,2000,0.412,2000
planted,2,planted64[2],64,4,3.464102,anneal,3.154607,-0.309495,2000,0.389,2000
planted,2,planted64[2],64,4,3.464102,tabu,3.110906,-0.353195,2000,0.377,2000
planted,3,planted64[3],64,4,3.464102,family,3.109445,-0.354657,2000,0.625,2000
planted,3,planted64[3],64,4,3.464102,randcon,3.20222,-0.261882,2000,0.531,2000
planted,3,planted64[3],64,4,3.464102,random,3.221583,-0.242519,2000,0.407,2000
planted,3,planted64[3],64,4,3.464102,anneal,3.172242,-0.291859,2000,0.387,2000
planted,3,planted64[3],64,4,3.464102,tabu,3.11683,-0.347272,2000,0.375,2000
planted,4,planted64[4],64,4,3.464102,family,3.104844,-0.359258,2000,0.619,2000
planted,4,planted64[4],64,4,3.464102,randcon,3.19156,-0.272542,2000,0.532,2000
planted,4,planted64[4],64,4,3.464102,random,3.171931,-0.292171,2000,0.4,2000
planted,4,planted64[4],64,4,3.464102,anneal,3.163843,-0.300259,2000,0.378,2000
planted,4,planted64[4],64,4,3.464102,tabu,3.098052,-0.366049,2000,0.368,2000
planted,5,planted64[5],64,4,3.464102,family,3.131767,-0.332335,2000,0.608,2000
planted,5,planted64[5],64,4,3.464102,randcon,3.19696,-0.267141,2000,0.54,2000
planted,5,planted64[5],64,4,3.464102,random,3.226293,-0.237808,2000,0.401,2000
planted,5,planted64[5],64,4,3.464102,anneal,3.166075,-0.298026,2000,0.377,2000
planted,5,planted64[5],64,4,3.464102,tabu,3.1448,-0.319302,2000,0.364,2000
planted,6,planted64[6],64,4,3.464102,family,3.119579,-0.344522,2000,0.609,2000
planted,6,planted64[6],64,4,3.464102,randcon,3.229543,-0.234558,2000,0.52,2000
planted,6,planted64[6],64,4,3.464102,random,3.188781,-0.27532,2000,0.394,2000
planted,6,planted64[6],64,4,3.464102,anneal,3.135812,-0.32829,2000,0.379,2000
planted,6,planted64[6],64,4,3.464102,tabu,3.114178,-0.349924,2000,0.369,2000
planted,7,planted64[7],64,4,3.464102,family,3.151437,-0.312664,2000,0.577,2000
planted,7,planted64[7],64,4,3.464102,randcon,3.225614,-0.238488,2000,0.588,2000
planted,7,planted64[7],64,4,3.464102,random,3.216143,-0.247959,2000,0.438,2000
planted,7,planted64[7],64,4,3.464102,anneal,3.192846,-0.271255,2000,0.401,2000
planted,7,planted64[7],64,4,3.464102,tabu,3.127253,-0.336848,2000,0.376,2000
planted,8,planted64[8],64,4,3.464102,family,3.116539,-0.347563,2000,0.616,2000
planted,8,planted64[8],64,4,3.464102,randcon,3.219058,-0.245044,2000,0.541,2000
planted,8,planted64[8],64,4,3.464102,random,3.186593,-0.277509,2000,0.409,2000
planted,8,planted64[8],64,4,3.464102,anneal,3.175214,-0.288887,2000,0.386,2000
planted,8,planted64[8],64,4,3.464102,tabu,3.10466,-0.359442,2000,0.384,2000
planted,9,planted64[9],64,4,3.464102,family,3.128337,-0.335764,2000,0.641,2000
planted,9,planted64[9],64,4,3.464102,randcon,3.207042,-0.25706,2000,0.545,2000
planted,9,planted64[9],64,4,3.464102,random,3.22265,-0.241451,2000,0.404,2000
planted,9,planted64[9],64,4,3.464102,anneal,3.181461,-0.282641,2000,0.39,2000
planted,9,planted64[9],64,4,3.464102,tabu,3.081482,-0.382619,2000,0.366,2000
planted,10,planted64[10],64,4,3.464102,family,3.100653,-0.363448,2000,0.613,2000
planted,10,planted64[10],64,4,3.464102,randcon,3.188821,-0.275281,2000,0.544,2000
planted,10,planted64[10],64,4,3.464102,random,3.213215,-0.250887,2000,0.396,2000
planted,10,planted64[10],64,4,3.464102,anneal,3.13149,-0.332612,2000,0.384,2000
planted,10,planted64[10],64,4,3.464102,tabu,3.053553,-0.410549,2000,0.366,2000
planted,11,planted64[11],64,4,3.464102,family,3.128964,-0.335138,2000,0.604,2000
planted,11,planted64[11],64,4,3.464102,randcon,3.201452,-0.26265,2000,0.506,2000
planted,11,planted64[11],64,4,3.464102,random,3.226151,-0.23795,2000,0.393,2000
planted,11,planted64[11],64,4,3.464102,anneal,3.171625,-0.292477,2000,0.38,2000
planted,11,planted64[11],64,4,3.464102,tabu,3.118699,-0.345402,2000,0.37,2000
planted,12,planted64[12],64,4,3.464102,family,3.087199,-0.376902,2000,0.606,2000
planted,12,planted64[12],64,4,3.464102,randcon,3.188761,-0.275341,2000,0.626,2000
planted,12,planted64[12],64,4,3.464102,random,3.216867,-0.247235,2000,0.399,2000
planted,12,planted64[12],64,4,3.464102,anneal,3.151859,-0.312243,2000,0.385,2000
planted,12,planted64[12],64,4,3.464102,tabu,3.078619,-0.385483,2000,0.372,2000
planted,13,planted64[13],64,4,3.464102,family,3.12641,-0.337692,2000,0.602,2000
planted,13,planted64[13],64,4,3.464102,randcon,3.209522,-0.254579,2000,0.566,2000
planted,13,planted64[13],64,4,3.464102,random,3.185245,-0.278857,2000,0.422,2000
planted,13,planted64[13],64,4,3.464102,anneal,3.200772,-0.26333,2000,0.391,2000
planted,13,planted64[13],64,4,3.464102,tabu,3.128371,-0.335731,2000,0.37,2000
planted,14,planted64[14],64,4,3.464102,family,3.096253,-0.367848,2000,0.581,2000
planted,14,planted64[14],64,4,3.464102,randcon,3.231923,-0.232179,2000,0.548,2000
planted,14,planted64[14],64,4,3.464102,random,3.230463,-0.233639,2000,0.411,2000
planted,14,planted64[14],64,4,3.464102,anneal,3.144087,-0.320014,2000,0.409,2000
planted,14,planted64[14],64,4,3.464102,tabu,3.14476,-0.319341,2000,0.386,2000
planted,15,planted64[15],64,4,3.464102,family,3.109959,-0.354143,2000,0.629,2000
