family,n,d,seed,L,m,k,ncon,nsat,beta,kernel_dim,ntails,floor,rho_zero_tail,tail_mean,tail_std,tail_min,tail_max,tail_spread,rand_mean,rand_std,rand_min,std_ratio,sec
towerQ3,16,3,0,6,24,9,20,11,0.55,0,1,2.8284,2.712387,2.712387,0.0,2.712387,2.712387,0.0,2.6581,0.112,2.3163,0.0,0.0
towerK4,16,3,0,6,24,9,11,9,0.8182,3,8,2.8284,2.592862,2.592584,0.00036,2.592119,2.592862,0.000743,2.7317,0.0839,2.5837,0.0043,0.0
towerQ3,32,3,0,6,48,17,14,10,0.7143,7,128,2.8284,2.668099,2.677788,0.030394,2.617899,2.740152,0.122253,2.7444,0.0673,2.5893,0.4515,0.1
towerK4,32,3,0,6,48,17,10,8,0.8,9,200,2.8284,2.742567,2.713931,0.02348,2.663113,2.760035,0.096923,2.799,0.0521,2.6746,0.451,0.1
towerQ3,64,3,0,6,96,33,16,12,0.75,21,200,2.8284,2.725245,2.697851,0.021088,2.647549,2.752759,0.10521,2.7784,0.0403,2.6848,0.5236,0.2
towerK4,64,3,0,6,96,33,12,12,1.0,21,200,2.8284,2.73097,2.704169,0.013073,2.672745,2.736329,0.063584,2.8052,0.0343,2.7026,0.3814,0.2
planted4reg[16],32,4,0,4,64,33,20,18,0.9,16,200,3.4641,3.067141,2.993366,0.0363,2.887901,3.108067,0.220166,3.3604,0.0862,3.1226,0.4212,0.1
planted4reg[32],64,4,0,4,128,65,27,24,0.8889,42,200,3.4641,3.36473,3.214395,0.045839,3.090881,3.36473,0.273848,3.4059,0.0617,3.2586,0.7435,0.2
plain4reg,64,4,0,4,128,65,14,13,0.9286,53,200,3.4641,3.669227,3.318327,0.053691,3.210587,3.669227,0.458641,3.4158,0.0521,3.2913,1.0315,0.2
circulant12,30,4,0,4,60,31,30,30,1.0,2,4,3.4641,2.828427,2.818788,0.016695,2.789872,2.828427,0.038555,3.4547,0.158,3.1024,0.1057,0.0
towerQ3,128,3,0,6,192,65,10,10,1.0,55,200,2.8284,2.87531,2.763721,0.019238,2.717908,2.87531,0.157403,2.7969,0.0202,2.7481,0.9528,0.4
towerK4,128,3,0,6,192,65,13,13,1.0,52,200,2.8284,2.846921,2.774105,0.015044,2.729255,2.846921,0.117666,2.8126,0.0187,2.7724,0.8043,0.4
towerQ3,256,3,0,6,384,129,10,10,1.0,119,200,2.8284,2.943563,2.794957,0.016253,2.762612,2.943563,0.180951,2.8101,0.0145,2.7737,1.1236,1.8
towerK4,256,3,0,6,384,129,13,13,1.0,116,200,2.8284,2.939323,2.798656,0.015403,2.770422,2.939323,0.168901,2.8209,0.012,2.7961,1.2867,1.5
towerQ3,512,3,0,6,768,257,12,12,1.0,245,200,2.8284,2.96717,2.809006,0.013751,2.788962,2.96717,0.178208,2.8196,0.0078,2.8007,1.7565,6.9
towerK4,512,3,0,6,768,257,20,20,1.0,237,200,2.8284,2.953128,2.809877,0.012927,2.790634,2.953128,0.162494,2.8233,0.0068,2.8077,1.9108,6.8
towerQ3,1024,3,0,6,1536,513,8,8,1.0,505,200,2.8284,2.989329,2.819844,0.012989,2.808003,2.989329,0.181326,2.8226,0.0054,2.807,2.3883,40.3
