family,n,d,seed,L,m,k,ncon,nsat,beta_greedy,kernel_dim,ntails,floor,rho_zero_tail,tail_mean,tail_std,tail_min,tail_max,tail_spread,rand_mean,rand_std,rand_min,std_ratio,sec
towerQ3,16,3,0,6,24,9,20,11,0.55,0,1,2.8284,2.712387,nan,nan,nan,nan,nan,2.6581,0.112,2.3163,nan,0.0
towerK4,16,3,0,6,24,9,11,9,0.8182,3,8,2.8284,2.592862,2.592438,0.000368,2.592119,2.592862,0.000743,2.7251,0.0941,2.566,0.0039,0.0
towerQ3,32,3,0,6,48,17,14,10,0.7143,7,128,2.8284,2.668099,2.674628,0.028779,2.617899,2.740152,0.122253,2.7386,0.0646,2.6,0.4458,0.1
towerK4,32,3,0,6,48,17,10,8,0.8,9,200,2.8284,2.742567,2.713762,0.021416,2.663113,2.75907,0.095957,2.7888,0.0549,2.6607,0.3898,0.1
towerQ3,64,3,0,6,96,33,16,12,0.75,21,200,2.8284,2.725245,2.697714,0.021051,2.647549,2.752759,0.10521,2.7784,0.0403,2.6848,0.5227,0.2
towerK4,64,3,0,6,96,33,12,12,1.0,21,200,2.8284,2.73097,2.704035,0.012966,2.672745,2.736329,0.063584,2.8052,0.0343,2.7026,0.3783,0.2
towerQ3,128,3,0,6,192,65,10,10,1.0,55,200,2.8284,2.87531,2.763161,0.01758,2.717908,2.815291,0.097383,2.7969,0.0202,2.7481,0.8707,0.5
towerK4,128,3,0,6,192,65,13,13,1.0,52,200,2.8284,2.846921,2.773739,0.014166,2.729255,2.821328,0.092073,2.8126,0.0187,2.7724,0.7574,0.4
towerQ3,256,3,0,6,384,129,10,10,1.0,119,200,2.8284,2.943563,2.79421,0.012407,2.762612,2.835347,0.072735,2.8101,0.0145,2.7737,0.8577,3.8
towerK4,256,3,0,6,384,129,13,13,1.0,116,200,2.8284,2.939323,2.797949,0.011769,2.770422,2.836639,0.066217,2.8209,0.012,2.7961,0.9831,4.1
towerQ3,512,3,0,6,768,257,12,12,1.0,245,200,2.8284,2.96717,2.808212,0.007981,2.788962,2.836252,0.04729,2.8196,0.0078,2.8007,1.0195,6.8
towerK4,512,3,0,6,768,257,20,20,1.0,237,200,2.8284,2.953128,2.809157,0.008019,2.790634,2.832295,0.041661,2.8233,0.0068,2.8077,1.1853,6.7
towerQ3,1024,3,0,6,1536,513,8,8,1.0,505,200,2.8284,2.989329,2.818993,0.00495,2.808003,2.835852,0.027849,2.8226,0.0054,2.807,0.9101,16.2
towerK4,1024,3,0,6,1536,513,16,16,1.0,497,200,2.8284,2.979775,2.8196,0.004707,2.80882,2.832448,0.023629,2.8263,0.0046,2.8163,1.0211,15.1
planted4reg[16],32,4,0,4,64,33,20,18,0.9,16,200,3.4641,3.067141,2.991257,0.034334,2.911848,3.090869,0.17902,3.3758,0.0936,3.1042,0.3667,0.1
planted4reg[32],64,4,0,4,128,65,27,24,0.8889,42,200,3.4641,3.36473,3.21364,0.044695,3.090881,3.337114,0.246233,3.4059,0.0617,3.2586,0.725,0.2
planted4reg[64],128,4,0,4,256,129,41,37,0.9024,93,200,3.4641,3.523469,3.295717,0.031416,3.225535,3.386432,0.160897,3.4367,0.0391,3.3503,0.8026,0.6
planted4reg[128],256,4,0,4,512,257,69,66,0.9565,191,200,3.4641,3.49897,3.297804,0.020241,3.255408,3.367755,0.112346,3.4544,0.0252,3.3916,0.8031,3.5
planted4reg[256],512,4,0,4,1024,513,143,132,0.9231,383,200,3.4641,3.554443,3.327824,0.013693,3.297183,3.369573,0.07239,3.4658,0.0218,3.4149,0.6272,7.5
towerQ3,16,3,1,6,24,9,20,12,0.6,1,2,2.8284,2.581807,2.581807,0.0,2.581807,2.581807,0.0,2.6796,0.1137,2.3692,0.0,0.0
towerK4,16,3,1,6,24,9,11,7,0.6364,3,8,2.8284,2.59722,2.657172,0.054449,2.594107,2.71539,0.121283,2.7633,0.0917,2.566,0.5938,0.0
towerQ3,32,3,1,6,48,17,22,14,0.6364,5,32,2.8284,2.767612,2.725573,0.028112,2.683507,2.767612,0.084105,2.7353,0.0763,2.5657,0.3687,0.0
towerK4,32,3,1,6,48,17,9,9,1.0,8,200,2.8284,2.70748,2.672712,0.018941,2.614417,2.722367,0.10795,2.78,0.0446,2.6813,0.4246,0.1
towerQ3,64,3,1,6,96,33,28,22,0.7857,13,200,2.8284,2.687197,2.704069,0.016075,2.652365,2.746854,0.094489,2.7829,0.043,2.6644,0.3735,0.2
towerK4,64,3,1,6,96,33,9,9,1.0,24,200,2.8284,2.801935,2.73662,0.02053,2.696252,2.827329,0.131078,2.7984,0.0294,2.7437,0.6976,0.2
towerQ3,128,3,1,6,192,65,24,22,0.9167,43,200,2.8284,2.7747,2.734949,0.016836,2.694412,2.788441,0.094029,2.7995,0.0257,2.7302,0.6542,0.5
towerK4,128,3,1,6,192,65,11,11,1.0,54,200,2.8284,2.858407,2.781334,0.018164,2.741427,2.829361,0.087934,2.814,0.0192,2.769,0.9451,0.5
towerQ3,256,3,1,6,384,129,14,14,1.0,115,200,2.8284,2.927406,2.791808,0.013628,2.765291,2.832708,0.067417,2.8107,0.0137,2.7788,0.9955,3.4
towerK4,256,3,1,6,384,129,13,13,1.0,116,200,2.8284,2.918659,2.798568,0.01069,2.778267,2.827091,0.048824,2.8168,0.0126,2.7809,0.8489,4.0
towerQ3,512,3,1,6,768,257,6,6,1.0,251,200,2.8284,2.984976,2.813299,0.007803,2.794009,2.834291,0.040281,2.8176,0.009,2.796,0.8718,7.0
towerK4,512,3,1,6,768,257,19,19,1.0,238,200,2.8284,2.947581,2.80928,0.007116,2.791662,2.835562,0.0439,2.8242,0.0082,2.8067,0.8654,7.3
towerQ3,1024,3,1,6,1536,513,8,8,1.0,505,200,2.8284,2.989982,2.819341,0.006277,2.804696,2.838064,0.033369,2.8222,0.0056,2.8093,1.1204,15.9
towerK4,1024,3,1,6,1536,513,17,17,1.0,496,200,2.8284,2.977073,2.819215,0.004385,2.809724,2.831404,0.02168,2.8259,0.0048,2.8141,0.9078,16.4
planted4reg[16],32,4,1,4,64,33,14,13,0.9286,20,200,3.4641,3.311373,3.170777,0.057059,3.004555,3.331391,0.326836,3.3787,0.0921,3.1503,0.6194,0.1
planted4reg[32],64,4,1,4,128,65,27,23,0.8519,43,200,3.4641,3.400236,3.230035,0.042201,3.121794,3.342153,0.220359,3.4096,0.0669,3.277,0.631,0.2
planted4reg[64],128,4,1,4,256,129,44,39,0.8864,91,200,3.4641,3.464238,3.2997,0.032678,3.219956,3.402159,0.182204,3.4506,0.0438,3.3525,0.7456,0.6
planted4reg[128],256,4,1,4,512,257,90,79,0.8778,183,200,3.4641,3.539279,3.311613,0.022024,3.262699,3.377172,0.114473,3.4645,0.0316,3.3822,0.6979,3.5
planted4reg[256],512,4,1,4,1024,513,122,113,0.9262,400,200,3.4641,3.617069,3.346225,0.015361,3.311555,3.404726,0.093171,3.47,0.018,3.4379,0.8528,7.3
towerQ3,16,3,2,6,24,9,20,14,0.7,0,1,2.8284,2.574111,nan,nan,nan,nan,nan,2.6768,0.1225,2.3163,nan,0.0
towerK4,16,3,2,6,24,9,11,9,0.8182,3,8,2.8284,2.592119,2.592544,0.000368,2.592119,2.592862,0.000743,2.7508,0.0799,2.5837,0.0046,0.0
towerQ3,32,3,2,6,48,17,26,17,0.6538,3,8,2.8284,2.62191,2.649453,0.031247,2.609066,2.696409,0.087343,2.7359,0.0805,2.5394,0.3881,0.0
towerK4,32,3,2,6,48,17,10,10,1.0,7,128,2.8284,2.621236,2.627492,0.011516,2.607004,2.644698,0.037694,2.7926,0.0571,2.6273,0.2016,0.0
towerQ3,64,3,2,6,96,33,28,21,0.75,13,200,2.8284,2.691318,2.662817,0.013494,2.621548,2.696801,0.075253,2.7836,0.0457,2.6718,0.2953,0.2
towerK4,64,3,2,6,96,33,14,14,1.0,19,200,2.8284,2.725921,2.714437,0.01856,2.666035,2.782887,0.116852,2.8135,0.0351,2.7191,0.5293,0.2
towerQ3,128,3,2,6,192,65,24,24,1.0,41,200,2.8284,2.721849,2.698279,0.013089,2.664196,2.738143,0.073948,2.799,0.0239,2.7423,0.547,0.4
towerK4,128,3,2,6,192,65,15,15,1.0,50,200,2.8284,2.842614,2.778667,0.015202,2.741058,2.821316,0.080258,2.8212,0.0193,2.774,0.7875,0.4
towerQ3,256,3,2,6,384,129,18,18,1.0,111,200,2.8284,2.899467,2.781179,0.011711,2.756119,2.81133,0.055211,2.81,0.0149,2.7739,0.7886,3.6
towerK4,256,3,2,6,384,129,9,9,1.0,120,200,2.8284,2.943591,2.803334,0.009993,2.779485,2.83644,0.056954,2.8175,0.0118,2.7903,0.8498,3.7
towerQ3,512,3,2,6,768,257,16,16,1.0,241,200,2.8284,2.95993,2.805447,0.008941,2.785906,2.830632,0.044726,2.8183,0.0094,2.7982,0.9529,7.4
